Aalto University																									
Internal Combustion Engine Laboratory																									
Engine: 44AWI																									
Project: Hercules																									
Reference: RCP Test Run																									
Operator: Jari																									
2017.05.18																									
Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)
59:54.5	1300	1308.08728	100	100.0132	0.072494	0.085184	15.77388	0.091408	228.707855	1059.515729	4.026565	1080.936161	2.88766	18.468667	2.839831	2.843013	2851.044156	-11.883064	0	213.700314	1.019565	29.676807	30.754239	0.016514	43.096003
59:54.6	1300	1297.984863	100	100.0132	0.081705	0.068868	16.056614	0.207616	228.749311	1059.485077	4.039097	1136.562436	2.750164	19.428092	2.836114	2.858469	3076.539868	-11.87596	0	213.875902	1.019833	28.676905	29.675494	0.016514	42.942736
59:54.7	1300	1270.405884	100	100.0132	0.067456	0.076657	15.878332	-0.068865	228.773314	1059.449339	4.05979	1111.839647	2.915887	18.345021	2.851412	2.837861	3119.575313	-11.868855	0	213.890272	1.019565	29.750571	26.186787	0.016605	43.233789
59:54.8	1300	1304.078369	100	100.0132	0.079229	0.097236	15.974113	0.178103	228.926943	1059.415016	4.09173	1056.213372	3.004358	17.739483	2.837675	2.858469	3066.388822	-11.86987	0	214.002635	1.020101	30.580408	28.892256	0.016605	43.168934
59:54.9	1300	1277.546997	100	100.0132	0.0685	0.047715	15.846111	0.186301	228.84801	1059.390397	4.084781	1008.828027	3.008924	17.715569	2.846842	2.843013	2876.28583	-11.870885	0	213.877361	1.019297	30.342726	26.499508	0.016469	43.043085
59:55.0	1300	1306.037109	100	101.398558	0.071881	0.064277	15.816278	-0.072144	228.914222	1059.372981	4.05903	1033.550816	2.881117	18.572277	2.856837	2.863622	2917.865897	-11.85972	0	213.806486	1.019297	29.418636	29.250881	0.01656	43.158709
59:55.1	1300	1310.530029	100	100.0132	0.078341	0.076903	15.859465	0.096942	228.899624	1059.355775	4.033109	1074.755464	2.877716	18.609784	2.828627	2.853317	2894.412077	-11.880019	0	213.925281	1.020369	29.123583	29.500485	0.016514	43.109208
59:55.2	1300	1299.967529	100	100.0132	0.072145	0.061899	15.882083	0.196344	229.124663	1059.335777	4.0423	1136.562436	2.81256	19.0967	2.838402	2.848165	3020.803394	-11.880019	0	213.933012	1.019565	30.068163	29.004147	0.016514	43.126746
59:55.3	1300	1288.286377	100	101.398558	0.082029	0.074115	15.766313	0.024799	229.106171	1059.320057	4.062479	1118.020344	2.83525	18.954867	2.839232	2.853317	2966.102247	-11.881034	0	213.953422	1.020101	30.084555	29.104562	0.016514	43.121287
59:55.4	1300	1297.900635	100	100.0132	0.073044	0.074935	15.887431	0.27607	229.036436	1059.315457	4.097247	1027.370119	2.700681	19.924261	2.835545	2.848165	2849.139191	-11.872915	0	213.988023	1.020369	30.258718	26.046206	0.01665	43.195032
